,mission_played,day_auto_increment,days_played_in_month,lifetime_played_runs,max_run_distance,mission_difficulty,mission_stars_collected,target_max_day_played,total_ads_watched,total_purchases_real,total_purchases_virtual,virtual_currency_balance
0,1,0.20477152830634365,0.15690626792697604,1.2134214700026622,1472.7274574720573,1.047269100548542,2.830923072885226,6.426644220061716,0.06513889774171656,0.010472166084879662,26133.82139201446,342511.38069866935
1,2,0.245680021599892,0.1868278158609207,1.7356375718121408,1552.4879775601123,1.0094499527502363,3.386323068384658,6.427910360448198,0.20639896800515997,0.01124244378778106,27709.455588972054,351618.5402185489
2,3,0.2871759481517043,0.21736227796447433,2.2391007561209793,1650.5041106577053,1.0037055928948633,4.098787055928948,6.429034895583293,0.3838326632261162,0.011990668506961113,29089.896667216755,351941.09943590977
3,4,0.3751453761020446,0.28467829675483025,3.1650684674545113,1976.7118214218722,1.0026524104295629,5.421902082160946,6.431187394485087,0.8414931532545489,0.0139486025135997,31662.03386231476,342840.7736522228
4,5,0.47806836516453416,0.364301527147199,4.249697947544182,2274.0994934524033,1.00193988968519,6.42829912573637,6.432614160819481,1.4579415406551348,0.015901842332370266,33104.68327267269,340182.7120520806
5,6,0.6042962974082609,0.46092125706479725,5.660837192545278,2587.561014328497,1.231256239163558,7.555662721138474,6.434133197228873,2.205594043428331,0.018302797397002198,34408.97839842079,329234.8961352838
6,7,0.7688340159088264,0.5846174636720934,7.425499168521696,2827.4607328270636,1.5117401733529034,8.821654472902816,6.435514446700926,3.0893191637918416,0.022046375092438616,36339.77572233505,314464.6961932183
7,8,0.9076321806284,0.6856010121677886,8.958390743320106,2994.6185749308265,1.7934441862298627,10.428113936454183,6.436257081607905,3.8836908082700417,0.02516153011537061,37465.52601939488,312722.11651192565
8,9,1.1355680149613012,0.8400785618524375,11.348090593983184,3151.1102156695597,1.6956066199251183,12.131106663111606,6.437580505244342,4.987855208853605,0.028052439660967304,38898.783324007556,306013.96884188865
9,10,1.6101713379839895,1.12341518938839,15.619142070405974,3353.5221732613572,1.4929169531065105,13.986059301500006,6.4393254670378175,7.114170226033907,0.033407338119226596,43540.86409415513,309715.19843801064
